,gene_id,X1.9.2_S4_L001_R1_001_Count.count,X1.9.2_S4_L002_R1_001_Count.count,X1.9.2_S4_L003_R1_001_Count.count,X1.9.2.G_S16_L001_R1_001_Count.count,X1.9.2.G_S16_L002_R1_001_Count.count,X1.9.2.G_S16_L003_R1_001_Count.count,X2.6.2_S6_L001_R1_001_Count.count,X2.6.2_S6_L002_R1_001_Count.count,X2.6.2_S6_L003_R1_001_Count.count,X3.19.1_S1_L001_R1_001_Count.count,X3.19.1_S1_L002_R1_001_Count.count,X3.19.1_S1_L003_R1_001_Count.count,X3.19.1.G_S8_L001_R1_001_Count.count,X3.19.1.G_S8_L002_R1_001_Count.count,X3.19.1.G_S8_L003_R1_001_Count.count,X3.51.1_S12_L001_R1_001_Count.count,X3.51.1_S12_L002_R1_001_Count.count,X3.51.1_S12_L003_R1_001_Count.count,X3.51.1.G_S10_L001_R1_001_Count.count,X3.51.1.G_S10_L002_R1_001_Count.count,X3.51.1.G_S10_L003_R1_001_Count.count,X4.11.5_S14_L001_R1_001_Count.count,X4.11.5_S14_L002_R1_001_Count.count,X4.11.5_S14_L003_R1_001_Count.count,X4.44.4_S2_L001_R1_001_Count.count,X4.44.4_S2_L002_R1_001_Count.count,X4.44.4_S2_L003_R1_001_Count.count,X4.44.4.G_S17_L001_R1_001_Count.count,X4.44.4.G_S17_L002_R1_001_Count.count,X4.44.4.G_S17_L003_R1_001_Count.count,DPR.1.G_S5_L001_R1_001_Count.count,DPR.1.G_S5_L002_R1_001_Count.count,DPR.1.G_S5_L003_R1_001_Count.count,DPR.2.G_S7_L001_R1_001_Count.count,DPR.2.G_S7_L002_R1_001_Count.count,DPR.2.G_S7_L003_R1_001_Count.count,SB.C1_S9_L001_R1_001_Count.count,SB.C1_S9_L002_R1_001_Count.count,SB.C1_S9_L003_R1_001_Count.count,SB.C2_S11_L001_R1_001_Count.count,SB.C2_S11_L002_R1_001_Count.count,SB.C2_S11_L003_R1_001_Count.count,SB.C3_S13_L001_R1_001_Count.count,SB.C3_S13_L002_R1_001_Count.count,SB.C3_S13_L003_R1_001_Count.count,SB.CK.1.G_S15_L001_R1_001_Count.count,SB.CK.1.G_S15_L002_R1_001_Count.count,SB.CK.1.G_S15_L003_R1_001_Count.count,SB.CK.2.G_S18_L001_R1_001_Count.count,SB.CK.2.G_S18_L002_R1_001_Count.count,SB.CK.2.G_S18_L003_R1_001_Count.count,SB.CK.3.G_S3_L001_R1_001_Count.count,SB.CK.3.G_S3_L002_R1_001_Count.count,SB.CK.3.G_S3_L003_R1_001_Count.count
40,GSVIVT01000045001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
41,GSVIVT01000046001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
42,GSVIVT01000047001,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,0,3,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
43,GSVIVT01000048001,2,7,4,0,0,1,8,7,4,6,5,3,8,10,11,5,4,4,1,3,9,7,1,5,1,0,1,14,11,10,3,2,2,8,8,8,1,3,1,3,0,0,0,3,5,6,7,12,9,1,2,1,5,1
44,GSVIVT01000050001,6,0,7,0,0,0,2,1,7,6,2,4,5,4,0,12,7,8,5,4,4,3,3,1,3,3,2,0,6,3,7,4,5,5,1,2,0,0,0,5,0,0,0,0,0,2,0,4,4,1,1,1,2,5
45,GSVIVT01000051001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
46,GSVIVT01000052001,0,2,0,1,0,1,0,1,0,0,2,1,0,1,0,3,5,2,2,0,0,1,0,0,4,1,1,3,1,0,0,1,1,1,0,2,0,0,2,0,0,0,0,3,0,2,2,2,0,0,1,0,1,0
47,GSVIVT01000053001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,GSVIVT01000054001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,GSVIVT01000055001,66,52,52,29,27,29,61,50,52,39,36,43,45,47,41,59,70,65,61,43,49,49,37,55,34,32,36,52,49,55,45,35,33,47,46,38,52,50,51,53,67,66,60,56,59,33,27,33,18,13,26,32,45,44
50,GSVIVT01000056001,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,GSVIVT01000057001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,GSVIVT01000058001,35,36,36,16,21,15,25,26,23,13,26,19,20,19,13,24,34,30,19,17,16,28,33,27,19,15,13,20,25,21,11,23,29,18,16,18,28,44,32,31,32,39,47,49,66,14,16,11,15,28,10,25,25,35
53,GSVIVT01000059001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,GSVIVT01000060001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
55,GSVIVT01000061001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,GSVIVT01000062001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,GSVIVT01000063001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,GSVIVT01000064001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,GSVIVT01000065001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,GSVIVT01000066001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,GSVIVT01000067001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,GSVIVT01000068001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,GSVIVT01000069001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,GSVIVT01000070001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,GSVIVT01000071001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,GSVIVT01000072001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
67,GSVIVT01000073001,3,2,5,3,4,5,5,3,1,2,2,2,1,6,2,3,3,2,5,4,5,0,2,2,2,0,1,6,5,7,3,1,2,3,2,3,0,0,0,2,1,0,1,0,2,5,2,5,3,0,2,3,1,3
68,GSVIVT01000074001,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,2,1,0,1,0,1
69,GSVIVT01000075001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,GSVIVT01000077001,1,0,0,1,1,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
71,GSVIVT01000078001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0
72,GSVIVT01000079001,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73,GSVIVT01000080001,3,0,0,0,1,0,3,2,0,4,1,0,0,0,5,0,1,1,0,1,1,2,0,1,1,0,0,2,1,2,1,0,2,0,1,1,0,0,1,0,1,0,2,0,1,4,1,3,1,0,0,0,0,0
74,GSVIVT01000081001,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,GSVIVT01000083001,2,2,1,0,0,0,4,5,1,3,1,2,5,8,10,7,4,3,4,4,2,2,1,3,2,2,2,0,4,1,16,17,17,11,8,9,15,9,11,9,8,11,0,1,0,6,3,3,19,19,12,10,10,6
76,GSVIVT01000084001,1,0,0,0,1,0,0,1,0,0,0,2,4,3,9,6,5,1,3,0,3,2,1,1,11,3,7,7,2,4,10,9,11,3,11,3,1,0,4,0,0,0,0,0,0,8,6,6,6,10,8,4,5,2
