,gene_id,AUX_11c_S1_L001_R1_001_Count.count,AUX_11c_S1_L002_R1_001_Count.count,AUX_11c_S1_L003_R1_001_Count.count,AUX_23b_S4_L001_R1_001_Count.count,AUX_23b_S4_L002_R1_001_Count.count,AUX_23b_S4_L003_R1_001_Count.count,AUX_28a_S7_L001_R1_001_Count.count,AUX_28a_S7_L002_R1_001_Count.count,AUX_28a_S7_L003_R1_001_Count.count,AUX_C_19c_S9_L001_R1_001_Count.count,AUX_C_19c_S9_L002_R1_001_Count.count,AUX_C_19c_S9_L003_R1_001_Count.count,AUX_C_21cc_S11_L001_R1_001_Count.count,AUX_C_21cc_S11_L002_R1_001_Count.count,AUX_C_21cc_S11_L003_R1_001_Count.count,AUX_C_26b_S13_L001_R1_001_Count.count,AUX_C_26b_S13_L002_R1_001_Count.count,AUX_C_26b_S13_L003_R1_001_Count.count,CK_14bb_S15_L001_R1_001_Count.count,CK_14bb_S15_L002_R1_001_Count.count,CK_14bb_S15_L003_R1_001_Count.count,CK_17a_S17_L001_R1_001_Count.count,CK_17a_S17_L002_R1_001_Count.count,CK_17a_S17_L003_R1_001_Count.count,CK_25c_S2_L001_R1_001_Count.count,CK_25c_S2_L002_R1_001_Count.count,CK_25c_S2_L003_R1_001_Count.count,GA3_13ab_S5_L001_R1_001_Count.count,GA3_13ab_S5_L002_R1_001_Count.count,GA3_13ab_S5_L003_R1_001_Count.count,GA3_15ab_S8_L001_R1_001_Count.count,GA3_15ab_S8_L002_R1_001_Count.count,GA3_15ab_S8_L003_R1_001_Count.count,GA3_24b_S10_L001_R1_001_Count.count,GA3_24b_S10_L002_R1_001_Count.count,GA3_24b_S10_L003_R1_001_Count.count,GA3_CK_C_12c_S12_L001_R1_001_Count.count,GA3_CK_C_12c_S12_L002_R1_001_Count.count,GA3_CK_C_12c_S12_L003_R1_001_Count.count,GA3_CK_C_16ab_S14_L001_R1_001_Count.count,GA3_CK_C_16ab_S14_L002_R1_001_Count.count,GA3_CK_C_16ab_S14_L003_R1_001_Count.count,GA3_CK_C_20b_S16_L001_R1_001_Count.count,GA3_CK_C_20b_S16_L002_R1_001_Count.count,GA3_CK_C_20b_S16_L003_R1_001_Count.count,W_C_18cc_S18_L001_R1_001_Count.count,W_C_18cc_S18_L002_R1_001_Count.count,W_C_18cc_S18_L003_R1_001_Count.count,W_C_22a_S3_L001_R1_001_Count.count,W_C_22a_S3_L002_R1_001_Count.count,W_C_22a_S3_L003_R1_001_Count.count,W_C_27b.pooled_S6_L001_R1_001_Count.count,W_C_27b.pooled_S6_L002_R1_001_Count.count,W_C_27b.pooled_S6_L003_R1_001_Count.count
50,GSVIVT01000056001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,GSVIVT01000057001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,GSVIVT01000058001,0,1,2,0,3,1,9,15,15,9,9,5,0,0,0,3,4,2,1,0,2,1,3,1,2,1,0,1,1,3,2,1,6,1,4,7,0,0,3,0,3,2,0,1,3,3,0,1,5,0,1,6,7,7
53,GSVIVT01000059001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,GSVIVT01000060001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,GSVIVT01000061001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,GSVIVT01000062001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,GSVIVT01000063001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,GSVIVT01000064001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,GSVIVT01000065001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,GSVIVT01000066001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,GSVIVT01000067001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,GSVIVT01000068001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,GSVIVT01000069001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,GSVIVT01000070001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,GSVIVT01000071001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,GSVIVT01000072001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,GSVIVT01000073001,2,1,2,0,3,0,2,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,2,1,0,2,2,0,1,0,0,0,0,2,0,0,0,0,0,3,2,1,0,1,2,2,2,0,0
68,GSVIVT01000074001,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
69,GSVIVT01000075001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,GSVIVT01000077001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
71,GSVIVT01000078001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,GSVIVT01000079001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,GSVIVT01000080001,0,1,0,0,0,2,2,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,1,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0
74,GSVIVT01000081001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,GSVIVT01000083001,0,0,1,2,1,0,0,1,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,2,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
