"gene_id"	"AUX_11c_S1_L002_R1_001_Count.count"	"AUX_23b_S4_L002_R1_001_Count.count"	"AUX_28a_S7_L002_R1_001_Count.count"	"AUX_C_19c_S9_L002_R1_001_Count.count"	"AUX_C_21cc_S11_L002_R1_001_Count.count"	"AUX_C_26b_S13_L002_R1_001_Count.count"	"CK_14bb_S15_L002_R1_001_Count.count"	"CK_17a_S17_L002_R1_001_Count.count"	"CK_25c_S2_L002_R1_001_Count.count"	"GA3_13ab_S5_L002_R1_001_Count.count"	"GA3_15ab_S8_L002_R1_001_Count.count"	"GA3_24b_S10_L002_R1_001_Count.count"	"GA3_CK_C_12c_S12_L002_R1_001_Count.count"	"GA3_CK_C_16ab_S14_L002_R1_001_Count.count"	"GA3_CK_C_20b_S16_L002_R1_001_Count.count"	"W_C_18cc_S18_L002_R1_001_Count.count"	"W_C_22a_S3_L002_R1_001_Count.count"	"W_C_27b.pooled_S6_L002_R1_001_Count.count"
"PAC:17816839"	2	7	6	0	1	2	4	0	0	2	9	2	2	0	0	3	5	0
"PAC:17816840"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816841"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
"PAC:17816842"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816843"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"PAC:17816844"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
"PAC:17816845"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"PAC:17816846"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816847"	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
"PAC:17816848"	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1
"PAC:17816849"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"PAC:17816850"	1	0	0	0	1	0	0	0	1	1	0	2	0	0	0	1	1	0
"PAC:17816851"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816852"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
"PAC:17816853"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"PAC:17816854"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816855"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816856"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816857"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816858"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816859"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"PAC:17816860"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816861"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816862"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816863"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"PAC:17816864"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
"PAC:17816865"	5	0	3	2	5	4	6	2	6	6	5	2	4	3	2	6	1	10
"PAC:17816866"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816867"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816868"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816869"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816870"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816871"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816872"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816873"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816874"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816875"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"PAC:17816876"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816877"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816878"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816879"	2	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0
