Gene_Name	Direction_Differentially_Regulated
PAC:17817390	0
PAC:17817391	0
PAC:17817392	0
PAC:17817393	0
PAC:17817394	0
PAC:17817396	0
PAC:17817397	0
PAC:17817398	0
PAC:17817399	0
PAC:17817400	0
PAC:17817401	0
PAC:17817402	0
PAC:17817403	0
PAC:17817404	0
PAC:17817405	0
PAC:17817406	0
PAC:17817407	0
PAC:17817408	0
PAC:17817409	0
PAC:17817410	0
PAC:17817411	0
PAC:17817412	0
PAC:17817413	0
PAC:17817414	0
PAC:17817415	0
PAC:17817416	0
PAC:17817417	0
PAC:17817418	0
PAC:17817419	0
PAC:17817420	0
PAC:17817421	0
PAC:17817422	0
PAC:17817423	0
PAC:17817424	0
PAC:17817425	0
PAC:17817426	0
PAC:17817427	0
PAC:17817428	0
PAC:17817431	0
PAC:17817432	0
PAC:17817433	0
PAC:17817434	0
PAC:17817435	0
PAC:17817436	0
PAC:17817437	0
PAC:17817438	0
PAC:17817439	0
PAC:17817440	0
PAC:17817441	0
PAC:17817442	0
PAC:17817443	0
PAC:17817444	0
PAC:17817447	0
PAC:17817448	0
PAC:17817449	0
PAC:17817450	0
PAC:17817451	0
PAC:17817452	0
PAC:17817453	0
PAC:17817455	0
PAC:17817456	0
PAC:17817458	0
PAC:17817459	0
PAC:17817461	0
PAC:17817462	0
PAC:17817463	0
PAC:17817478	0
PAC:17817481	0
PAC:17817483	0
PAC:17817484	0
PAC:17817486	0
PAC:17817487	0
PAC:17817488	0
PAC:17817489	0
PAC:17817490	0
PAC:17817491	0
PAC:17817492	0
PAC:17817493	0
PAC:17817494	0
PAC:17817495	0
PAC:17817497	0
PAC:17817498	0
PAC:17817499	0
PAC:17817500	0
PAC:17817501	0
PAC:17817503	0
PAC:17817504	0
PAC:17817505	0
PAC:17817506	0
PAC:17817508	0
PAC:17817509	0
PAC:17817510	0
PAC:17817511	0
PAC:17817512	0
PAC:17817514	0
PAC:17817515	0
PAC:17817516	0
PAC:17817517	0
PAC:17817518	0
PAC:17817519	0
PAC:17817520	0
PAC:17817521	0
PAC:17817522	0
PAC:17817523	0
PAC:17817524	0
PAC:17817525	0
PAC:17817526	0
PAC:17817527	0
PAC:17817528	0
PAC:17817529	0
PAC:17817530	0
PAC:17817531	0
PAC:17817532	0
PAC:17817533	0
PAC:17817534	0
PAC:17817535	0
PAC:17817536	1
PAC:17817537	0
PAC:17817539	0
PAC:17817540	0
PAC:17817541	0
PAC:17817545	0
PAC:17817546	0
PAC:17817547	0
PAC:17817548	0
PAC:17817549	0
PAC:17817550	0
PAC:17817551	1
PAC:17817552	0
PAC:17817553	0
PAC:17817554	0
PAC:17817555	0
PAC:17817557	0
PAC:17817558	0
PAC:17817559	0
PAC:17817560	0
PAC:17817561	0
PAC:17817562	0
PAC:17817563	0
PAC:17817564	0
PAC:17817565	0
PAC:17817566	0
PAC:17817567	0
PAC:17817568	0
PAC:17817569	0
PAC:17817570	0
PAC:17817571	0
PAC:17817572	0
PAC:17817573	0
PAC:17817574	1
PAC:17817575	0
PAC:17817576	0
PAC:17817577	0
PAC:17817579	-1
PAC:17817580	-1
PAC:17817581	0
PAC:17817582	0
PAC:17817583	0
PAC:17817584	0
PAC:17817585	0
PAC:17817586	0
PAC:17817587	0
PAC:17817588	0
PAC:17817589	0
PAC:17817590	0
PAC:17817591	0
PAC:17817592	-1
PAC:17817593	0
PAC:17817594	0
PAC:17817596	0
PAC:17817597	0
PAC:17817598	0
PAC:17817600	0
PAC:17817601	0
PAC:17817602	0
PAC:17817603	0
PAC:17817604	0
PAC:17817605	0
PAC:17817606	0
PAC:17817608	0
PAC:17817609	0
PAC:17817610	0
PAC:17817611	0
PAC:17817612	0
PAC:17817613	0
PAC:17817614	0
PAC:17817615	0
PAC:17817616	0
PAC:17817617	0
PAC:17817618	0
PAC:17817619	0
PAC:17817620	0
PAC:17817621	0
PAC:17817622	0
PAC:17817623	0
PAC:17817624	0
PAC:17817626	0
PAC:17817627	0
PAC:17817628	0
PAC:17817630	0
PAC:17817631	0
PAC:17817632	0
PAC:17817633	0
PAC:17817634	0
PAC:17817635	0
PAC:17817636	0
PAC:17817637	0
PAC:17817638	0
PAC:17817639	0
PAC:17817640	0
PAC:17817641	0
PAC:17817643	0
PAC:17817646	0
PAC:17817648	0
PAC:17817649	0
PAC:17817654	0
PAC:17817657	-1
PAC:17817658	0
PAC:17817661	0
PAC:17817662	0
PAC:17817667	0
PAC:17817669	-1
PAC:17817671	0
PAC:17817672	0
PAC:17817673	0
PAC:17817674	0
PAC:17817675	0
PAC:17817676	0
PAC:17817677	0
PAC:17817679	0
PAC:17817681	0
PAC:17817682	0
PAC:17817684	0
PAC:17817688	0
PAC:17817691	0
PAC:17817692	0
PAC:17817693	0
PAC:17817695	0
PAC:17817696	0
PAC:17817697	0
PAC:17817698	0
PAC:17817699	0
PAC:17817702	0
PAC:17817708	0
PAC:17817712	0
PAC:17817717	0
PAC:17817718	0
PAC:17817720	0
PAC:17817722	0
PAC:17817723	0
PAC:17817725	0
PAC:17817726	0
PAC:17817727	0
PAC:17817728	0
PAC:17817729	0
PAC:17817730	0
PAC:17817731	0
PAC:17817733	0
PAC:17817734	0
PAC:17817735	0
PAC:17817736	0
PAC:17817737	0
PAC:17817738	0
PAC:17817741	0
PAC:17817742	0
PAC:17817743	0
PAC:17817744	0
PAC:17817749	0
PAC:17817751	0
PAC:17817752	0
PAC:17817753	0
PAC:17817758	0
PAC:17817759	0
PAC:17817760	0
PAC:17817761	0
PAC:17817762	0
PAC:17817766	0
PAC:17817767	0
PAC:17817771	0
PAC:17817772	0
PAC:17817773	0
PAC:17817774	-1
PAC:17817776	0
PAC:17817781	0
PAC:17817784	0
PAC:17817785	0
PAC:17817786	0
PAC:17817790	0
PAC:17817791	0
PAC:17817792	0
PAC:17817796	0
PAC:17817798	0
PAC:17817801	0
PAC:17817802	0
PAC:17817803	0
PAC:17817804	0
PAC:17817805	-1
PAC:17817808	0
PAC:17817810	1
PAC:17817812	0
PAC:17817813	0
PAC:17817815	0
PAC:17817816	0
PAC:17817817	0
PAC:17817818	0
PAC:17817819	0
PAC:17817820	0
PAC:17817821	0
PAC:17817822	0
PAC:17817823	0
PAC:17817824	0
PAC:17817825	0
PAC:17817826	0
PAC:17817827	0
PAC:17817828	0
PAC:17817829	0
PAC:17817830	0
PAC:17817831	0
PAC:17817832	0
PAC:17817833	0
PAC:17817834	0
PAC:17817835	0
PAC:17817836	0
PAC:17817837	0
PAC:17817838	0
PAC:17817839	0
PAC:17817840	0
PAC:17817841	0
PAC:17817842	0
PAC:17817843	0
PAC:17817844	0
PAC:17817845	0
PAC:17817846	0
PAC:17817847	0
PAC:17817848	0
PAC:17817849	0
PAC:17817850	0
PAC:17817851	0
PAC:17817852	0
PAC:17817853	0
PAC:17817854	0
PAC:17817855	0
PAC:17817856	0
PAC:17817857	0
PAC:17817858	0
PAC:17817859	0
PAC:17817860	0
PAC:17817861	0
PAC:17817862	0
PAC:17817863	0
PAC:17817864	0
PAC:17817866	0
PAC:17817867	0
PAC:17817868	0
PAC:17817869	0
PAC:17817874	0
PAC:17817877	0
PAC:17817880	0
PAC:17817881	0
PAC:17817884	0
PAC:17817885	0
PAC:17817886	0
PAC:17817887	0
PAC:17817888	0
PAC:17817889	0
PAC:17817890	0
PAC:17817891	0
PAC:17817892	0
PAC:17817893	0
PAC:17817896	0
PAC:17817897	0
PAC:17817898	0
PAC:17817899	0
PAC:17817900	0
PAC:17817901	0
PAC:17817902	0
PAC:17817903	0
PAC:17817904	0
PAC:17817905	0
PAC:17817906	0
PAC:17817907	0
PAC:17817910	0
PAC:17817912	-1
PAC:17817913	0
PAC:17817914	0
PAC:17817915	0
PAC:17817916	0
PAC:17817918	0
PAC:17817921	0
PAC:17817922	0
PAC:17817924	0
PAC:17817926	0
PAC:17817927	0
PAC:17817928	0
PAC:17817930	0
PAC:17817931	0
PAC:17817932	1
PAC:17817933	0
PAC:17817934	0
PAC:17817935	0
PAC:17817937	0
PAC:17817938	0
PAC:17817939	0
PAC:17817940	0
PAC:17817941	0
PAC:17817942	0
PAC:17817943	0
PAC:17817944	0
PAC:17817945	0
PAC:17817947	0
PAC:17817949	0
PAC:17817950	0
PAC:17817951	0
PAC:17817952	0
PAC:17817953	0
PAC:17817954	0
PAC:17817955	0
PAC:17817956	-1
PAC:17817957	0
PAC:17817958	0
PAC:17817959	0
PAC:17817960	0
PAC:17817961	0
PAC:17817962	0
PAC:17817963	0
PAC:17817964	0
PAC:17817965	0
PAC:17817966	0
PAC:17817967	0
PAC:17817968	0
PAC:17817969	0
PAC:17817970	0
PAC:17817971	0
PAC:17817972	0
PAC:17817973	0
PAC:17817975	0
PAC:17817976	0
PAC:17817977	0
PAC:17817978	0
PAC:17817979	0
PAC:17817980	0
PAC:17817981	0
